Reading,Scrapbooking
Watching TV,Pottery
Family Time,Candle making
Going to Movies,Painting and Drawing
Fishing,Sculpture
Computer,Origami
Gardening,Jewelry Making
Renting Movies,Leather Crafting
Walking,Glass Blowing
Exercise,Weaving
Listening to Music,Soapmaking
Entertaining,Quilling
Hunting,Sculpting Miniatures
Team Sports,Embroidery
Shopping,Paper Making
Traveling,Enamels
Sleeping,Swords
Socializing,Wood Carving
Sewing,Engraving
Golf,Beadwork and beading
Church Activities,Wire Jewellery making
Relaxing,Crochet
Playing Music,Tole Painting
Housework,GunSmithing
Crafts,Snorkeling
Watching Sports,Scuba Diving
Bicycling,Skiing
Playing Cards,Surfing
Hiking,Skateboarding
Cooking,Martial Arts
Eating Out,Spelunking
Dating Online,Skydiving
Swimming,Fencing
Camping,Golfing
Skiing,Hang Gliding
Working on Cars,Hot Air Ballooning
Writing,Dancing
Boating,Magic Tricks
Motorcycling,Singing
Animal Care,Amateur Theatre
Bowling,Poetry Reading
Painting,Storytelling
Running,Amateur and HAM Radio
Dancing,CB Radio
Horseback Riding,Building circuits
Tennis,Robotics
Theater,Home Theatre
Billiards,Home Automation
Beach,Composing Music
Volunteer Work,Karaoke
